,state,district,recovered,confirmed,deceased,active,date,Literate,Power_Parity_Above_Rs_545000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_150000_330000,Total_Power_Parity,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Rs_90000_150000,Jains,Power_Parity_Rs_240000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_45000_150000,Urban_Households,LPG_or_PNG_Households,Other_Workers,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Internet,Households_with_Computer,Households_with_Scooter_Motorcycle_Moped,Households_with_Car_Jeep_Van,Graduate_Education,Main_source_of_drinking_water_Tapwater_Households,Area,Density,Population,Classification_GreenZone,Classification_OrangeZone,Classification_RedZone
0,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-21,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
1,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-22,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
2,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-23,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
3,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-24,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
4,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-25,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
5,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-26,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
6,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-27,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
7,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-28,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
8,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-29,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
9,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-30,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
10,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-01,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
11,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-02,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
12,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-03,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
13,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-04,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
14,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-05,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
15,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-06,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
16,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-07,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
17,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-08,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
18,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-09,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
19,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-10,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
20,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-11,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0,105597.0,1,0,0
