,state,district,recovered,confirmed,deceased,active,date,Classification,Literate,Power_Parity_Above_Rs_545000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_150000_330000,Total_Power_Parity,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Rs_90000_150000,Jains,Power_Parity_Rs_240000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_45000_150000,Urban_Households,LPG_or_PNG_Households,Other_Workers,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Internet,Households_with_Computer,Households_with_Scooter_Motorcycle_Moped,Households_with_Car_Jeep_Van,Graduate_Education,Main_source_of_drinking_water_Tapwater_Households,Area,Density
0,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-21,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
1,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-22,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
2,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-23,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
3,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-24,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
4,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-25,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
5,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-26,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
6,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-27,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
7,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-28,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
8,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-29,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
9,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-30,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
10,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-01,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
11,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-02,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
12,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-03,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
13,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-04,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
14,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-05,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
15,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-06,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
16,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-07,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
17,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-08,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
18,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-09,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
19,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-10,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
20,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-11,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
21,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-12,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
22,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-13,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
23,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-14,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
24,Andaman and Nicobar Islands,southandaman,10.0,15.0,0.0,5.0,2020-04-21,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
25,Andaman and Nicobar Islands,southandaman,10.0,16.0,0.0,6.0,2020-04-22,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
26,Andaman and Nicobar Islands,southandaman,10.0,20.0,0.0,10.0,2020-04-23,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
27,Andaman and Nicobar Islands,southandaman,10.0,27.0,0.0,17.0,2020-04-24,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
28,Andaman and Nicobar Islands,southandaman,10.0,32.0,0.0,22.0,2020-04-25,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
29,Andaman and Nicobar Islands,southandaman,10.0,32.0,0.0,22.0,2020-04-26,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
30,Andaman and Nicobar Islands,southandaman,10.0,32.0,0.0,22.0,2020-04-27,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
31,Andaman and Nicobar Islands,southandaman,14.0,32.0,0.0,18.0,2020-04-28,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
